"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-18",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-19",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-20",,,,,"0.33","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-21",,,,,"0.38","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-22",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-23",,,,,"0.34","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-24",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-25",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-26",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-27",,,,,"0.23","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-28",,,,,"0.54","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-29",,,,,"0.15","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-30",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-08-31",,,,,"0.08","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-01",,,,,"0.30","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-02",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-03",,,,,"0.16","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-04",,,,,"0.05","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-05",,,,,"0.04","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-06",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-07",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-08",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-09",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-10",,,,,"1.25","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-11",,,,,"0.08","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-12",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-13",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-14",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-15",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-16",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-17",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-18",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-19",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-20",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-21",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-22",,,,,"0.03","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-23",,,,,"0.24","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-24",,,,,"0.10","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-25",,,,,"1.21","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-26",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-27",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-28",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-29",,,,,"0.09","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-09-30",,,,,"1.05","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-01",,,,,"0.02","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-02",,,,,"0.17","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-03",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-04",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-05",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-06",,,,,"0.29","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-07",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-08",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-09",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-10",,,,,"0.66","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-11",,,,,"1.10","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-12",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-13",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-14",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-15",,,,,"0.06","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-16",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-17",,,,,"0.02","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-18",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-19",,,,,"0.20","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-20",,,,,"0.02","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-21",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-22",,,,,"0.09","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-23",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-24",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-25",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-26",,,,,"0.87","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-27",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-28",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-29",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-30",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-10-31",,,,,"0.00","0.0","0.0"
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-01",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-02",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-03",,,,,"0.26",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-04",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-05",,,,,"0.16",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-06",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-07",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-08",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-09",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-10",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-11",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-12",,,,,"0.06",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-13",,,,,"0.11",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-14",,,,,"0.03",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-15",,,,,"0.02",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-16",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-17",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-18",,,,,"0.00",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-19",,,,,"0.03",,
"USC00274321","JEFFERSON 5 SSW, NH US","1967-11-20",,,,,"0.00",,
