"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-01","0.00","0.0","24.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-02","0.00","0.0","23.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-03","0.00","0.0","23.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-04","0.41","9.0","32.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-05","0.00","0.0","32.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-06","0.00","0.0","30.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-07","0.00","0.0","30.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-08","0.00","0.0","29.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-09","0.00","0.0","28.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-10","0.02","1.0","29.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-11","0.19","3.0","31.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-12","0.00","0.0","30.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-13","0.41","6.0","35.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-14","0.00","0.0","34.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-15","0.00","0.0","31.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-16","0.00","0.0","29.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-17","0.00","0.0","26.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-18","0.00","0.0","14.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-19","0.00","0.0","8.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-20","1.02","0.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-21","0.00","0.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-22","0.02","0.5","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-23","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-24","0.23","2.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-25","0.96","1.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-26","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-27","0.02","1.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-28","0.78","2.0","4.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-29","0.06","2.0","4.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-30","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-01-31","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-01","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-02","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-03","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-04","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-05","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-06","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-07","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-08","0.19","3.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-09","0.21","1.0","5.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-10","0.08","0.1","6.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-11","0.18","1.0","6.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-12","0.27","3.0","8.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-13","0.00","0.0","8.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-14","0.00","0.0","7.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-15","0.17","0.1","7.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-16","0.00","0.0","7.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-17","0.33","9.0","14.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-18","0.11","2.0","13.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-19","0.00","0.0","12.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-20",,,"13.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-21","0.18","3.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-22","0.66","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-23","0.43","0.0","1.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-24","0.48",,"3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-25","0.27","0.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-26","0.00","0.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-27","0.00","0.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-28","0.04","0.0","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-02-29","0.06","1.5","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-01","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-02","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-03","0.03","0.5","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-04","0.04","1.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-05","0.00","0.0","2.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-06","0.09","1.5","3.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-07","0.11","2.0","4.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-08","0.17","3.0","6.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-09","0.79","10.0","13.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-10","0.00","0.0","12.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-11","0.00","0.0","10.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-12","0.00","0.0","6.0"
"USC00274318","JEFFERSON NUMBER 2, NH US","1996-03-13","0.00","0.0","3.0"
